,cus1,cus2,Match
231,22667080,20974201,No Match
232,22758967,21384576,No Match
233,22663599,20723651,No Match
234,22745373,22740602,No Match
235,22717683,20874753,No Match
236,21192263,22746585,No Match
237,22696085,22721900,No Match
238,20974201,22671941,No Match
239,22710987,22721326,No Match
240,22710987,22645002,No Match
241,22768258,22702305,No Match
242,21493314,22687671,No Match
243,20874753,22766456,No Match
244,22683261,22721874,No Match
245,22701213,22769986,No Match
246,20410861,22695336,No Match
247,22722711,22690139,No Match
248,22717683,21427635,No Match
249,22687671,22646478,No Match
250,20996481,20906481,Match
251,22740020,22647621,No Match
252,21386393,20068428,No Match
253,22757344,21103754,No Match
254,22685678,20431448,No Match
255,22709178,20457119,No Match
256,22729427,22720067,No Match
257,20579089,22727276,No Match
258,21381741,20399309,No Match
259,22727514,21370499,No Match
260,22675877,22681149,No Match
261,22675877,22756782,No Match
262,22675877,21452917,No Match
263,22676114,21043645,No Match
264,20966636,20431448,No Match
265,22759958,22760641,No Match
266,22720067,20768776,No Match
267,22754704,22737566,No Match
268,21444853,22690139,No Match
269,22709937,22701235,No Match
270,22758492,22740728,No Match
271,22757537,22712757,No Match
272,20808199,20808119,Match
273,22771276,20068228,No Match
274,21116373,22730859,No Match
275,20939352,22416373,No Match
276,20219879,22704727,No Match
277,22738666,22679794,No Match
278,22699794,21447003,No Match
279,22751996,20939352,No Match
280,21453348,22740766,No Match
281,21138282,20951902,No Match
282,22754229,22738011,No Match
283,22700624,22673827,No Match
284,22698527,22645407,No Match
285,22677741,22734942,No Match
286,22701214,22659434,No Match
287,22760509,22739580,No Match
288,21286092,22681359,No Match
289,20019027,22770752,No Match
290,20019027,20811684,No Match
291,22645407,22747096,No Match
292,21261172,21267172,Match
293,21005816,22670580,No Match
294,22751996,20641071,No Match
295,22734161,22733812,No Match
296,21410016,22181533,No Match
297,21410016,22758405,No Match
298,22667380,21479814,No Match
299,22764381,22733905,No Match
300,22697792,21422727,No Match
301,20779699,22710650,No Match
302,22745374,21103465,No Match
303,22712587,22730774,No Match
304,22734157,20191604,No Match
305,22729877,22716257,No Match
306,22763188,22770342,No Match
307,22739711,21279034,No Match
308,22686331,20695829,No Match
309,22703816,22783816,Match
310,22704878,20980193,No Match
311,21485861,21485611,No Match
312,20777391,22768062,No Match
313,22717465,21423584,No Match
314,22750899,22763097,No Match
315,22759958,22743784,No Match
316,20960735,22696118,No Match
317,20813122,22737566,No Match
318,21280167,21282167,Match
319,22743242,22753242,Match
320,22699794,22679794,Match
321,22700624,22770624,Match
322,22670768,22726951,No Match
323,22670768,22766514,No Match
324,22758130,22813075,No Match
325,22687472,21260407,No Match
326,22685302,22685303,Match
327,22719060,22739102,No Match
328,22711845,22762981,No Match
329,22722017,22643782,No Match
330,22722017,22736896,No Match
331,22722017,22695402,No Match
332,22762981,22718882,No Match
333,22762981,22753665,No Match
334,22762981,22666774,No Match
335,22762981,22768323,No Match
336,22770393,21467642,No Match
337,22685562,21477154,No Match
338,22737101,22699794,No Match
339,22736896,22751320,No Match
340,22726423,22766423,Match
341,22696118,22750657,No Match
342,22699794,22624505,No Match
343,20777094,20770947,No Match
344,22738505,22709092,No Match
345,20019027,20190276,No Match
346,22674000,22674008,Match
347,22764190,21831143,No Match
348,22728066,22728076,Match
349,22700418,20647901,No Match
350,20647911,22751543,No Match
351,22746886,22746486,Match
352,21465423,21565423,Match
353,21421992,21421892,Match
354,22769627,22769227,Match
355,22739590,22739510,Match
356,22745660,22755660,Match
357,22768960,21250405,No Match
358,22761130,21007561,No Match
359,22748038,21452798,No Match
360,22748038,22743784,No Match
361,20978125,22764976,No Match
362,22713890,22730337,No Match
363,21452798,22665390,No Match
364,20497954,22702305,No Match
365,20497954,22700845,No Match
366,22764976,22765168,No Match
367,22742715,22652642,No Match
368,22706763,20404107,No Match
369,21007561,22694187,No Match
370,20019027,22720061,No Match
371,20019027,21249512,No Match
372,20019027,20864382,No Match
373,22657520,22737396,No Match
374,22665390,22718379,No Match
375,22691159,22703055,No Match
376,22736613,20581307,No Match
377,22700845,21043645,No Match
378,22737411,22770384,No Match
379,22694187,22683984,No Match
380,22737396,22770752,No Match
381,22718369,22688337,No Match
382,22721591,20914151,No Match
383,22765329,22765229,Match
384,21030665,21838665,No Match
385,20516219,20250798,No Match
386,22678991,22746974,No Match
387,22769838,20452717,No Match
388,22756014,22658249,No Match
389,22740390,22750390,Match
390,22691557,22695178,No Match
391,21244403,21224403,Match
392,22668900,22742457,No Match
393,22737876,21438402,No Match
394,22737946,22724647,No Match
395,22687438,22970831,No Match
396,22706457,21426876,No Match
397,22740016,22740013,Match
398,22761761,21761761,Match
399,20984429,21034179,No Match
400,22766744,22756445,No Match
401,22691159,22697159,Match
402,21373694,22753670,No Match
403,22650962,22650960,Match
404,22755531,22734531,No Match
405,22658249,22658349,Match
406,22748316,22275316,No Match
407,22697694,22707776,No Match
408,21096134,21896134,Match
409,22701459,22645002,No Match
410,22720337,20386923,No Match
411,22746583,21349202,No Match
412,22724808,22749889,No Match
413,21311753,22733198,No Match
414,22694286,22741627,No Match
415,22737466,22684709,No Match
416,22743229,22669220,No Match
417,20383986,21150455,No Match
418,20796964,22717465,No Match
419,21434216,21491892,No Match
420,22736098,21364603,No Match
421,22722711,21403113,No Match
422,20886716,22767315,No Match
423,22717465,22686900,No Match
424,20644909,22746605,No Match
425,22756132,21462185,No Match
426,22767315,22704742,No Match
427,22724007,22737466,No Match
428,22724007,21211364,No Match
429,22651112,22652412,No Match
430,22752889,21481954,No Match
431,22739993,22732193,No Match
432,22669969,21365039,No Match
433,22666643,22734362,No Match
434,22733205,22773205,Match
435,22733969,20965241,No Match
436,21380693,21380694,Match
437,21031143,21831143,Match
438,22759005,22759105,Match
439,22689120,22689130,Match
440,22770345,22774345,Match
441,22670799,22670679,No Match
442,22745069,22767971,No Match
443,21441393,21441293,Match
444,22756405,22706405,Match
445,20411653,20441653,Match
446,22748131,22758131,Match
447,20966636,20924636,No Match
448,22748491,22740491,Match
449,21479814,22653748,No Match
450,21013367,21013267,Match
451,22710987,22687199,No Match
452,22739512,20185000,No Match
453,22711550,22771750,No Match
454,22747964,22757964,Match
455,22730338,22738138,No Match
456,22684328,22604328,Match
457,22652642,22652652,Match
458,22734475,22737475,Match
459,20698712,20698714,Match
460,22700418,20135481,No Match
461,22749349,20220620,No Match
462,21280167,21288167,Match
463,22731419,22739419,Match
464,22750899,22750849,Match
465,20947529,20947539,Match
466,22699794,22679714,No Match
467,22751320,21831135,No Match
468,20274266,22761388,No Match
469,22759730,22751730,Match
470,21381243,21389243,Match
471,22759377,22759307,Match
472,22738477,22738407,Match
473,22686590,22606590,Match
474,22768565,22696715,No Match
475,22768565,22658269,No Match
476,22768565,22756951,No Match
477,22768565,22754278,No Match
478,21460138,22761499,No Match
479,22688909,22678909,Match
480,22766744,22755917,No Match
481,22766744,22652028,No Match
482,22766744,22708615,No Match
483,22766744,22697159,No Match
484,22768565,22776218,No Match
485,20988176,20981768,No Match
486,22722711,22775347,No Match
487,22699794,22679794,Match
488,22759560,22731182,No Match
489,22720337,22707746,No Match
490,21116172,22416172,No Match
491,21116172,20000445,No Match
492,22754670,20150423,No Match
493,22757107,22732039,No Match
494,22767174,22711986,No Match
495,22699794,22679794,Match
496,22728548,22726548,Match
497,22700845,22754474,No Match
498,22751808,22751828,Match
499,22758882,22753242,No Match
500,21481954,22665391,No Match
501,22758994,22756899,No Match
502,20939352,20626788,No Match
503,22717683,22681910,No Match
504,22737846,22762338,No Match
505,22745660,20781306,No Match
506,22719004,22683966,No Match
507,21304022,20817593,No Match
508,22699794,22679794,Match
509,22652642,22652652,Match
510,20939352,21293757,No Match
511,22765581,21048906,No Match
512,22770345,21385214,No Match
513,22770345,22738172,No Match
514,22726625,22741876,No Match
515,22737775,21324315,No Match
516,21068436,20777094,No Match
517,22717166,21350673,No Match
518,22733947,22713947,Match
519,20939352,22765732,No Match
520,22706897,22718369,No Match
521,22701210,20196105,No Match
522,22759316,22645002,No Match
523,21007561,21947435,No Match
524,22765732,21489488,No Match
525,22652355,20939352,No Match
526,22718369,22730912,No Match
527,20992896,22757037,No Match
528,22711820,22669449,No Match
529,20431288,22753301,No Match
530,20431288,22742150,No Match
531,21489488,22755881,No Match
532,20939352,22712356,No Match
533,22757037,22647403,No Match
534,22753301,22756408,No Match
535,22742150,21313281,No Match
536,22710138,22709092,No Match
537,22721859,21239519,No Match
538,22699794,22659488,No Match
539,22715827,22750127,No Match
540,22715827,22704587,No Match
541,22769239,20696446,No Match
542,20013874,22733972,No Match
543,22757037,20942813,No Match
544,22683491,22750979,No Match
545,22714563,20957401,No Match
546,22761714,22770109,No Match
547,21446718,20328658,No Match
548,22737846,22768258,No Match
549,22699734,22679734,Match
550,22769926,21460138,No Match
551,22739376,20942813,No Match
552,22668045,22771861,No Match
553,22688480,20824816,No Match
554,22692481,22751886,No Match
555,22704878,22774878,Match
556,22750794,22742692,No Match
557,20939352,22717146,No Match
558,22724937,21218065,No Match
559,21055511,22757407,No Match
560,22742692,22738128,No Match
561,22658747,22719860,No Match
562,22710673,22703673,No Match
563,22710676,22767650,No Match
564,22717146,22719176,No Match
565,21218065,20385127,No Match
566,21218065,22761108,No Match
567,21350622,21325863,No Match
568,21244403,21423584,No Match
569,20256504,22730286,No Match
570,22706457,22786457,Match
571,22719141,21058057,No Match
572,22719623,21477693,No Match
573,21240063,21247063,Match
574,20978125,20978165,Match
575,22722746,22762125,No Match
576,22710650,22265217,No Match
577,22767888,22767228,No Match
578,22755338,22557738,No Match
579,22696118,21467675,No Match
580,21174591,22679794,No Match
581,22729307,22678372,No Match
582,22737466,22737566,Match
583,22752389,22753389,Match
584,22720269,22724269,Match
585,20386923,22734531,No Match
586,22755531,21991656,No Match
587,22758882,22752482,No Match
588,21452275,22746837,No Match
589,22722746,22723746,Match
590,22769933,22767973,No Match
